zone,record,sampleCount,promotedToJuryo,stayedMakushita,demotedOrLower,demotedToMakushita,stayedJuryo,promotedOrAbove
Makushita_Upper_15,0-0,131,0,131,0,,,
Makushita_Upper_15,0-1,19,0,19,0,,,
Makushita_Upper_15,0-2,10,0,10,0,,,
Makushita_Upper_15,0-3,13,0,13,0,,,
Makushita_Upper_15,0-4,10,0,10,0,,,
Makushita_Upper_15,0-5,9,0,9,0,,,
Makushita_Upper_15,0-6,1,0,1,0,,,
Makushita_Upper_15,0-7,28,0,28,0,,,
Makushita_Upper_15,1-1,5,0,5,0,,,
Makushita_Upper_15,1-2,12,0,12,0,,,
Makushita_Upper_15,1-3,12,0,12,0,,,
Makushita_Upper_15,1-4,10,0,10,0,,,
Makushita_Upper_15,1-5,10,0,10,0,,,
Makushita_Upper_15,1-6,389,0,389,0,,,
Makushita_Upper_15,1-7,4,0,4,0,,,
Makushita_Upper_15,2-1,5,0,5,0,,,
Makushita_Upper_15,2-2,4,0,4,0,,,
Makushita_Upper_15,2-3,8,0,8,0,,,
Makushita_Upper_15,2-4,6,0,6,0,,,
Makushita_Upper_15,2-5,1218,0,1218,0,,,
Makushita_Upper_15,2-6,6,0,6,0,,,
Makushita_Upper_15,3-1,1,0,1,0,,,
Makushita_Upper_15,3-2,7,0,7,0,,,
Makushita_Upper_15,3-3,10,0,10,0,,,
Makushita_Upper_15,3-4,2024,0,2024,0,,,
Makushita_Upper_15,3-5,9,0,9,0,,,
Makushita_Upper_15,4-1,2,0,2,0,,,
Makushita_Upper_15,4-2,3,0,3,0,,,
Makushita_Upper_15,4-3,2058,6,2052,0,,,
Makushita_Upper_15,5-2,1196,14,1182,0,,,
Makushita_Upper_15,6-1,394,38,356,0,,,
Makushita_Upper_15,7-0,103,100,3,0,,,
Makushita_Upper_30,0-0,166,0,77,89,,,
Makushita_Upper_30,0-1,27,0,21,6,,,
Makushita_Upper_30,0-2,12,0,7,5,,,
Makushita_Upper_30,0-3,16,0,11,5,,,
Makushita_Upper_30,0-4,8,0,8,0,,,
Makushita_Upper_30,0-5,3,0,2,1,,,
Makushita_Upper_30,0-6,2,0,2,0,,,
Makushita_Upper_30,0-7,70,0,47,23,,,
Makushita_Upper_30,1-0,2,0,2,0,,,
Makushita_Upper_30,1-1,11,0,10,1,,,
Makushita_Upper_30,1-2,13,0,13,0,,,
Makushita_Upper_30,1-3,13,0,13,0,,,
Makushita_Upper_30,1-4,11,0,11,0,,,
Makushita_Upper_30,1-5,13,0,12,1,,,
Makushita_Upper_30,1-6,612,0,583,29,,,
Makushita_Upper_30,2-1,4,0,4,0,,,
Makushita_Upper_30,2-2,14,0,13,1,,,
Makushita_Upper_30,2-3,23,0,23,0,,,
Makushita_Upper_30,2-4,24,0,24,0,,,
Makushita_Upper_30,2-5,1802,0,1801,1,,,
Makushita_Upper_30,3-2,7,0,7,0,,,
Makushita_Upper_30,3-3,12,0,12,0,,,
Makushita_Upper_30,3-4,3035,0,3035,0,,,
Makushita_Upper_30,4-1,5,0,5,0,,,
Makushita_Upper_30,4-2,9,0,9,0,,,
Makushita_Upper_30,4-3,3097,0,3097,0,,,
Makushita_Upper_30,5-1,1,0,1,0,,,
Makushita_Upper_30,5-2,1841,0,1841,0,,,
Makushita_Upper_30,6-1,633,0,633,0,,,
Makushita_Upper_30,7-0,74,15,59,0,,,
Makushita_Upper_5,0-0,73,0,73,0,,,
Makushita_Upper_5,0-1,4,0,4,0,,,
Makushita_Upper_5,0-2,10,0,10,0,,,
Makushita_Upper_5,0-3,7,0,7,0,,,
Makushita_Upper_5,0-4,3,0,3,0,,,
Makushita_Upper_5,0-5,4,0,4,0,,,
Makushita_Upper_5,0-6,3,0,3,0,,,
Makushita_Upper_5,0-7,6,0,6,0,,,
Makushita_Upper_5,1-1,2,0,2,0,,,
Makushita_Upper_5,1-2,7,0,7,0,,,
Makushita_Upper_5,1-3,5,0,5,0,,,
Makushita_Upper_5,1-4,4,0,4,0,,,
Makushita_Upper_5,1-5,2,0,2,0,,,
Makushita_Upper_5,1-6,146,0,146,0,,,
Makushita_Upper_5,1-7,8,0,8,0,,,
Makushita_Upper_5,2-2,3,0,3,0,,,
Makushita_Upper_5,2-3,6,0,6,0,,,
Makushita_Upper_5,2-4,2,0,2,0,,,
Makushita_Upper_5,2-5,499,0,499,0,,,
Makushita_Upper_5,2-6,28,0,28,0,,,
Makushita_Upper_5,3-0,1,0,1,0,,,
Makushita_Upper_5,3-3,5,0,5,0,,,
Makushita_Upper_5,3-4,927,2,925,0,,,
Makushita_Upper_5,3-5,22,0,22,0,,,
Makushita_Upper_5,4-1,1,1,0,0,,,
Makushita_Upper_5,4-2,1,1,0,0,,,
Makushita_Upper_5,4-3,1038,427,611,0,,,
Makushita_Upper_5,4-4,9,1,8,0,,,
Makushita_Upper_5,5-1,1,1,0,0,,,
Makushita_Upper_5,5-2,677,530,147,0,,,
Makushita_Upper_5,5-3,3,3,0,0,,,
Makushita_Upper_5,6-1,244,230,14,0,,,
Makushita_Upper_5,6-2,1,1,0,0,,,
Makushita_Upper_5,7-0,79,79,0,0,,,
Juryo_Low,0-0,50,,,,24,26,0
Juryo_Low,0-1,1,,,,1,0,0
Juryo_Low,0-2,4,,,,4,0,0
Juryo_Low,0-3,2,,,,2,0,0
Juryo_Low,0-4,1,,,,1,0,0
Juryo_Low,0-5,3,,,,3,0,0
Juryo_Low,0-7,1,,,,1,0,0
Juryo_Low,0-8,1,,,,1,0,0
Juryo_Low,0-9,2,,,,2,0,0
Juryo_Low,0-11,1,,,,1,0,0
Juryo_Low,0-15,3,,,,3,0,0
Juryo_Low,1-2,6,,,,5,1,0
Juryo_Low,1-3,1,,,,1,0,0
Juryo_Low,1-4,1,,,,1,0,0
Juryo_Low,1-6,2,,,,2,0,0
Juryo_Low,1-7,3,,,,3,0,0
Juryo_Low,1-9,2,,,,2,0,0
Juryo_Low,1-10,1,,,,1,0,0
Juryo_Low,1-11,2,,,,2,0,0
Juryo_Low,1-12,1,,,,1,0,0
Juryo_Low,1-14,24,,,,24,0,0
Juryo_Low,2-2,2,,,,2,0,0
Juryo_Low,2-3,1,,,,1,0,0
Juryo_Low,2-5,1,,,,1,0,0
Juryo_Low,2-6,2,,,,2,0,0
Juryo_Low,2-7,1,,,,1,0,0
Juryo_Low,2-8,3,,,,3,0,0
Juryo_Low,2-9,2,,,,2,0,0
Juryo_Low,2-10,1,,,,1,0,0
Juryo_Low,2-11,5,,,,5,0,0
Juryo_Low,2-12,3,,,,3,0,0
Juryo_Low,2-13,58,,,,58,0,0
Juryo_Low,3-5,1,,,,1,0,0
Juryo_Low,3-6,2,,,,2,0,0
Juryo_Low,3-8,1,,,,1,0,0
Juryo_Low,3-9,3,,,,3,0,0
Juryo_Low,3-10,1,,,,1,0,0
Juryo_Low,3-11,1,,,,1,0,0
Juryo_Low,3-12,110,,,,110,0,0
Juryo_Low,4-5,2,,,,2,0,0
Juryo_Low,4-6,3,,,,3,0,0
Juryo_Low,4-7,1,,,,1,0,0
Juryo_Low,4-8,1,,,,1,0,0
Juryo_Low,4-9,2,,,,2,0,0
Juryo_Low,4-10,1,,,,1,0,0
Juryo_Low,4-11,180,,,,178,2,0
Juryo_Low,5-3,1,,,,0,1,0
Juryo_Low,5-4,2,,,,1,1,0
Juryo_Low,5-6,1,,,,0,1,0
Juryo_Low,5-7,3,,,,2,1,0
Juryo_Low,5-8,3,,,,3,0,0
Juryo_Low,5-9,3,,,,3,0,0
Juryo_Low,5-10,263,,,,224,39,0
Juryo_Low,6-2,1,,,,1,0,0
Juryo_Low,6-4,3,,,,1,2,0
Juryo_Low,6-6,1,,,,1,0,0
Juryo_Low,6-7,2,,,,0,2,0
Juryo_Low,6-8,2,,,,1,1,0
Juryo_Low,6-9,383,,,,181,202,0
Juryo_Low,7-4,1,,,,0,1,0
Juryo_Low,7-5,4,,,,0,4,0
Juryo_Low,7-6,2,,,,0,2,0
Juryo_Low,7-7,3,,,,0,3,0
Juryo_Low,7-8,468,,,,74,394,0
Juryo_Low,8-4,1,,,,0,1,0
Juryo_Low,8-5,6,,,,0,6,0
Juryo_Low,8-6,5,,,,0,5,0
Juryo_Low,8-7,937,,,,2,934,1
Juryo_Low,9-3,1,,,,0,1,0
Juryo_Low,9-5,1,,,,0,1,0
Juryo_Low,9-6,649,,,,1,648,0
Juryo_Low,10-3,2,,,,0,2,0
Juryo_Low,10-4,1,,,,0,1,0
Juryo_Low,10-5,255,,,,0,254,1
Juryo_Low,11-4,118,,,,0,118,0
Juryo_Low,12-3,40,,,,0,39,1
Juryo_Low,13-2,25,,,,0,17,8
Juryo_Low,14-1,6,,,,0,2,4
Juryo_Low,15-0,1,,,,0,0,1
Juryo_Mid,0-0,52,,,,22,30,0
Juryo_Mid,0-1,2,,,,1,1,0
Juryo_Mid,0-2,3,,,,3,0,0
Juryo_Mid,0-3,1,,,,1,0,0
Juryo_Mid,0-4,2,,,,2,0,0
Juryo_Mid,0-7,1,,,,1,0,0
Juryo_Mid,0-9,1,,,,1,0,0
Juryo_Mid,0-10,1,,,,1,0,0
Juryo_Mid,0-15,1,,,,1,0,0
Juryo_Mid,1-2,1,,,,1,0,0
Juryo_Mid,1-3,1,,,,1,0,0
Juryo_Mid,1-4,2,,,,2,0,0
Juryo_Mid,1-5,1,,,,1,0,0
Juryo_Mid,1-8,3,,,,3,0,0
Juryo_Mid,1-9,2,,,,1,1,0
Juryo_Mid,1-10,1,,,,1,0,0
Juryo_Mid,1-11,1,,,,1,0,0
Juryo_Mid,1-12,1,,,,1,0,0
Juryo_Mid,1-14,4,,,,4,0,0
Juryo_Mid,2-3,3,,,,3,0,0
Juryo_Mid,2-4,1,,,,1,0,0
Juryo_Mid,2-5,2,,,,2,0,0
Juryo_Mid,2-6,2,,,,2,0,0
Juryo_Mid,2-7,2,,,,2,0,0
Juryo_Mid,2-8,1,,,,1,0,0
Juryo_Mid,2-9,1,,,,1,0,0
Juryo_Mid,2-11,1,,,,1,0,0
Juryo_Mid,2-13,23,,,,23,0,0
Juryo_Mid,3-3,2,,,,2,0,0
Juryo_Mid,3-5,1,,,,1,0,0
Juryo_Mid,3-6,1,,,,1,0,0
Juryo_Mid,3-7,1,,,,1,0,0
Juryo_Mid,3-8,1,,,,1,0,0
Juryo_Mid,3-9,1,,,,1,0,0
Juryo_Mid,3-10,1,,,,1,0,0
Juryo_Mid,3-12,38,,,,32,6,0
Juryo_Mid,4-5,1,,,,1,0,0
Juryo_Mid,4-7,3,,,,0,3,0
Juryo_Mid,4-9,1,,,,0,1,0
Juryo_Mid,4-10,1,,,,0,1,0
Juryo_Mid,4-11,96,,,,38,58,0
Juryo_Mid,5-3,1,,,,0,1,0
Juryo_Mid,5-4,2,,,,0,2,0
Juryo_Mid,5-6,4,,,,0,4,0
Juryo_Mid,5-7,4,,,,0,4,0
Juryo_Mid,5-8,7,,,,1,6,0
Juryo_Mid,5-9,1,,,,0,1,0
Juryo_Mid,5-10,215,,,,19,196,0
Juryo_Mid,6-5,2,,,,0,2,0
Juryo_Mid,6-6,1,,,,0,1,0
Juryo_Mid,6-7,6,,,,0,6,0
Juryo_Mid,6-8,2,,,,0,2,0
Juryo_Mid,6-9,489,,,,3,486,0
Juryo_Mid,7-2,1,,,,0,1,0
Juryo_Mid,7-4,1,,,,0,1,0
Juryo_Mid,7-6,1,,,,0,1,0
Juryo_Mid,7-7,5,,,,0,5,0
Juryo_Mid,7-8,546,,,,2,544,0
Juryo_Mid,8-4,1,,,,0,1,0
Juryo_Mid,8-5,1,,,,0,1,0
Juryo_Mid,8-6,1,,,,0,1,0
Juryo_Mid,8-7,723,,,,0,722,1
Juryo_Mid,9-3,1,,,,0,1,0
Juryo_Mid,9-4,1,,,,0,0,1
Juryo_Mid,9-5,2,,,,0,2,0
Juryo_Mid,9-6,412,,,,0,403,9
Juryo_Mid,10-3,2,,,,0,1,1
Juryo_Mid,10-4,1,,,,0,1,0
Juryo_Mid,10-5,205,,,,0,191,14
Juryo_Mid,11-4,97,,,,0,65,32
Juryo_Mid,12-3,50,,,,0,21,29
Juryo_Mid,13-2,21,,,,0,7,14
Juryo_Mid,14-1,4,,,,0,0,4
Juryo_Mid,15-0,1,,,,0,0,1
